0	-0.022006
1	-0.070170
2	-0.343509
3	-0.609847
4	-0.264812
5	-0.374868
6	-0.805321
7	-0.487627
8	-0.209819
9	-0.824375
10	-0.366008
11	-0.531517
12	-0.683052
13	-0.619039
14	-0.155731
15	0.003665
16	-0.240504
17	-0.368267
18	-0.305990
19	-0.230934
20	-0.164968
21	-0.243004
22	-0.014718
23	-0.465704
24	-0.047792
25	-0.261728
26	-0.187632
27	0.005319
28	-0.140169
29	-0.335997
30	-0.225247
31	-0.658466
32	-0.069388
33	-0.121182
34	0.029568
35	-0.231031
36	-0.371693
37	-0.097336
38	-0.595608
39	-0.415891
40	0.484257
41	0.302813
42	0.329968
43	0.084050
44	0.365618
45	0.488992
46	0.348912
47	0.188647
48	0.101088
49	0.202711
50	0.489258
51	0.244468
52	1.025670
53	0.494947
54	0.331192
55	0.152501
56	0.238390
57	0.850697
58	0.276902
59	0.290366
60	0.326715
61	0.263792
62	0.418473
63	0.546571
64	0.609649
65	0.373863
66	0.242687
67	0.140912
68	0.116951
69	0.175915
70	0.407131
71	0.731674
72	0.393823
73	0.235288
74	0.072238
75	0.418302
76	0.335734
77	0.723248
78	-0.025912
79	0.447934
80	0.319256
81	0.642814
82	0.350026
83	0.247931
84	0.211487
85	0.359840
86	0.294960
87	0.486841
88	0.363570
89	0.312683
90	0.296493
91	0.360890
92	0.040678
93	0.664470
94	0.442521
95	0.219090
96	0.869971
97	0.418942
98	0.270536
99	0.521361
100	0.308448
101	0.386668
102	0.522388
103	0.137893
104	0.409021
105	0.501745
106	0.260015
107	0.737209
108	0.255020
109	0.383366
110	0.379834
111	0.564362
112	0.020166
113	0.077551
114	0.106958
115	0.554110
116	0.035241
117	0.299147
118	0.433607
119	0.711368
